DATE,DAY,SALES
5/1/2023,Maandag  ,8885.09
5/2/2023,Dinsdag  ,3996.58
5/3/2023,Woensdag ,9367.42
5/4/2023,Donderdag,9514.79
5/5/2023,Vrijdag  ,4839.30
5/6/2023,Zaterdag ,13706.26
5/7/2023,Zondag   ,8811.49
5/8/2023,Maandag  ,2668.13
5/9/2023,Dinsdag  ,5971.06
5/10/2023,Woensdag ,2612.31
5/11/2023,Donderdag,6846.29
5/12/2023,Vrijdag  ,14140.20
5/13/2023,Zaterdag ,14978.10
5/14/2023,Zondag   ,8556.17
5/15/2023,Maandag  ,4391.78
5/16/2023,Dinsdag  ,5426.08
5/17/2023,Woensdag ,6134.20
5/18/2023,Donderdag,14052.97
5/19/2023,Vrijdag  ,11538.49
5/20/2023,Zaterdag ,11547.35
5/21/2023,Zondag   ,6831.57
5/22/2023,Maandag  ,3659.84
5/23/2023,Dinsdag  ,9688.26
5/24/2023,Woensdag ,2893.44
5/25/2023,Donderdag,7502.50
5/26/2023,Vrijdag  ,11542.59
5/27/2023,Zaterdag ,16179.79
5/28/2023,Zondag   ,9387.80
5/29/2023,Maandag  ,11812.53
5/30/2023,Dinsdag  ,8560.80
5/31/2023,Woensdag ,6281.42
