index,product_name,amount,revenue
1,Koffie              ,2075,5187.1
2,Ceylanthee          ,91,227.5
3,Cappuccino          ,2572,6943.6
4,Koffie verkeerd     ,104,312
5,Espresso            ,263,657.5
6,Dubbele koffie      ,26,119.6
7,Dubbele Cappuccino  ,23,112.7
8,Dubbele Espresso    ,91,418.6
9,Kan Koffie          ,10,180
10,Ristretto           ,1,2.5
11,Decaf Koffie        ,30,75
12,Decafe Cappucino    ,50,135
13,Deca koffie verkeerd,2,6
14,Decafe espresso     ,3,7.5
15,Irish coffee        ,12,102
16,French coffee       ,5,42.5
17,Espresso Macchiato  ,25,62.5
18,Spanish Coffee      ,6,51
19,Kan Thee            ,5,75
20,Verse gemberthee    ,281,899.2
21,Radler 0.0          ,211,738.5
22,Jardin Bluethee     ,21,52.5
23,Rooibosthee         ,149,372.5
24,Liefmans Fruitesse  ,194,873
25,Grolsch Radler      ,212,741.45
26,Kamille thee        ,25,62.5
27,Pils                ,2036,6918.85
28,Fluitje             ,52,166.4
29,Halve liter         ,459,3119.15
30,Weizenbock          ,4,20
31,Grolsch 0%          ,175,612.5
32,Duvel               ,70,350
33,Chai Tea Latte      ,143,543.4
34,Filmclub koffie     ,347,520.5
35,Weizen Klein        ,938,4687.75
36,Filmclub thee       ,156,234
37,Gunnen Vert thee    ,232,580
38,Earl Greythee       ,218,545
39,Weizen Groot        ,738,5902.8
40,Decaf Latte Macchiat,15,45
41,Latte Macchiato     ,661,1982.55
42,Cola                ,1249,3495.95
43,Tonic               ,150,420
44,Ginger Ale          ,140,447.5
45,Bitter lemon        ,144,403.2
46,Ginger Beer         ,152,486.4
47,Grote Cola          ,7,28
48,Appel/Spa           ,29,87
49,Fanta               ,216,604.8
50,Rivella             ,247,691.6
51,Sprite              ,106,296.8
52,Cola Zero           ,955,2674
53,Cassis              ,151,422.4
54,Beugel              ,14,77
55,Chocomel warm       ,60,222
56,Chocomel koud       ,64,179.2
57,Fristi              ,138,386.4
58,Ranja               ,95,190
59,Melk                ,18,50.4
60,Karnemelk           ,22,61.6
61,Liefmans 0.0        ,86,387
62,0.50 Karaf Water    ,58,0
63,1.00 karaf Water    ,70,0
64,Glas Water          ,2083,0
65,Chocomel Slagroom   ,57,238.75
66,Sauvignon Blanc glas,507,2078.7
67,Grolsch Weizen 0.0  ,309,1390.5
68,Grote Cola Zero     ,5,20
69,Pinot Grigio        ,1090,4469
70,Hugo                ,15,75
71,Bio Vlierbes        ,84,327.6
72,Bio Citroen         ,70,273
73,Fles Prosecco       ,9,202.5
74,Prosecco            ,55,275
75,Koninck             ,40,180
76,Speciaal drankje L  ,2,238.8
